                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.4945,                 7.0657,                 2.1065,                      0,                      0,                      0,                      0,                 4.3115,                 5.0616,                 2.0725,               0.067589,             0.00032738,             0.00032738
                      1,                 3.6598,                 4.9561,                 1.5379,                      0,                      0,                      0,                      0,                 4.6814,                 5.1047,                  2.387,               0.034583,             0.00065417,             0.00065417
                      2,                 3.6064,                 4.7816,                 1.5145,                      0,                      0,                      0,                      0,                 3.8248,                 5.2066,                 1.6354,              0.0015696,             0.00097437,             0.00097437
                      3,                 3.5528,                 4.6834,                  1.502,                0.00665,                0.04135,                0.00749,                0.00176,                 3.7293,                 4.7666,                 1.6307,              0.0009703,              0.0009703,              0.0009703
                      4,                 3.5123,                 4.6161,                 1.4768,                0.89205,                0.03414,                0.03978,                0.01139,                 3.5317,                 3.8074,                 1.5314,              0.0009703,              0.0009703,              0.0009703
                      5,                 3.4792,                 4.5084,                 1.4537,                0.00762,                0.05221,                0.01784,                0.00319,                 4.0309,                 4.0532,                 1.6256,              0.0009604,              0.0009604,              0.0009604
                      6,                 3.4376,                 4.4124,                 1.4543,                0.88789,                 0.0502,                0.05207,                0.01744,                 3.2362,                  3.591,                 1.4318,              0.0009505,              0.0009505,              0.0009505
                      7,                 3.4291,                 4.3887,                 1.4403,                0.87521,                 0.0743,                0.04296,                0.01172,                 3.3108,                 3.3675,                 1.4786,              0.0009406,              0.0009406,              0.0009406
                      8,                 3.3855,                 4.2905,                 1.4549,                0.91903,                0.08077,                0.08483,                0.02456,                 3.2272,                 3.2806,                 1.4367,              0.0009307,              0.0009307,              0.0009307
                      9,                 3.3452,                 4.1723,                 1.4305,                0.91353,                0.08835,                0.08685,                0.03379,                 2.9675,                 3.0844,                 1.3821,              0.0009208,              0.0009208,              0.0009208
                     10,                 3.3328,                 4.1013,                  1.407,                0.90649,                0.07385,                0.09069,                0.03018,                 2.9266,                 2.9474,                 1.3518,              0.0009109,              0.0009109,              0.0009109
                     11,                 3.2666,                 3.9507,                 1.3999,                 0.7458,                0.10408,                0.10345,                0.03516,                 2.8718,                 2.7947,                 1.3277,               0.000901,               0.000901,               0.000901
                     12,                 3.2029,                 3.8264,                   1.37,                0.89375,                0.12048,                0.11473,                0.03891,                 2.7681,                 2.6954,                 1.2803,              0.0008911,              0.0008911,              0.0008911
                     13,                 3.1637,                 3.6552,                 1.3718,                0.78162,                0.12972,                0.10604,                 0.0303,                 2.9827,                 2.5797,                 1.3619,              0.0008812,              0.0008812,              0.0008812
                     14,                 3.1202,                 3.4888,                 1.3639,                0.64441,                0.21475,                0.15304,                0.05205,                 2.7657,                 2.4049,                 1.2773,              0.0008713,              0.0008713,              0.0008713
                     15,                 3.0951,                 3.4267,                 1.3498,                0.59805,                0.16321,                0.12422,                0.02848,                 3.1808,                 2.5304,                 1.4402,              0.0008614,              0.0008614,              0.0008614
                     16,                 3.0357,                 3.2889,                 1.3551,                0.56949,                0.20993,                0.23522,                0.07614,                 2.7312,                  2.191,                 1.2716,              0.0008515,              0.0008515,              0.0008515
                     17,                  3.013,                 3.2041,                 1.3423,                0.33175,                0.27079,                0.22007,                0.07079,                 2.7483,                  2.314,                 1.2651,              0.0008416,              0.0008416,              0.0008416
                     18,                 3.0202,                 3.0997,                 1.3457,                0.42902,                0.28446,                0.21091,                0.05869,                 2.7434,                 2.1616,                  1.254,              0.0008317,              0.0008317,              0.0008317
                     19,                 2.9632,                 3.0573,                 1.3158,                0.32126,                0.31623,                0.26612,                0.08709,                 2.6198,                 2.0871,                  1.227,              0.0008218,              0.0008218,              0.0008218
                     20,                 2.9417,                 2.9834,                 1.3064,                0.32061,                0.34933,                0.28969,                0.10907,                  2.533,                 2.0559,                 1.1918,              0.0008119,              0.0008119,              0.0008119
                     21,                 2.9427,                 2.9611,                 1.3112,                0.33122,                0.29441,                0.21536,                0.07203,                 2.7402,                 2.0302,                 1.2803,               0.000802,               0.000802,               0.000802
                     22,                 2.9156,                 2.8645,                 1.3062,                0.40801,                0.28825,                0.26742,                0.08701,                 2.6661,                 2.0471,                 1.2241,              0.0007921,              0.0007921,              0.0007921
                     23,                 2.8835,                 2.8105,                 1.2918,                0.42272,                 0.3254,                0.27731,                0.08921,                 2.7204,                  1.965,                 1.2663,              0.0007822,              0.0007822,              0.0007822
                     24,                 2.8408,                 2.7725,                 1.2885,                0.40462,                0.33014,                0.24921,                0.08347,                  2.725,                  1.929,                 1.2609,              0.0007723,              0.0007723,              0.0007723
                     25,                 2.8439,                 2.7556,                 1.2754,                0.29769,                0.35986,                 0.2539,                 0.0685,                 2.9711,                 1.9284,                 1.3689,              0.0007624,              0.0007624,              0.0007624
                     26,                 2.8198,                 2.6555,                 1.2906,                 0.3234,                 0.3818,                0.30115,                0.10045,                 2.6065,                 1.8889,                  1.208,              0.0007525,              0.0007525,              0.0007525
                     27,                 2.8322,                 2.6614,                 1.2759,                0.35842,                0.38869,                0.29683,                0.10449,                  2.602,                 1.9043,                 1.2098,              0.0007426,              0.0007426,              0.0007426
                     28,                 2.8217,                 2.6458,                 1.2765,                0.32649,                0.41034,                0.32986,                0.11524,                 2.4477,                 1.7858,                 1.1674,              0.0007327,              0.0007327,              0.0007327
                     29,                  2.809,                 2.5799,                 1.2758,                0.43154,                0.33081,                0.35194,                0.12584,                 2.5551,                 1.8335,                  1.191,              0.0007228,              0.0007228,              0.0007228
                     30,                 2.7839,                 2.5945,                 1.2583,                0.45586,                0.41292,                0.31788,                0.10357,                 2.5846,                 1.7802,                 1.2099,              0.0007129,              0.0007129,              0.0007129
                     31,                 2.7722,                 2.5667,                 1.2498,                0.34563,                0.40531,                0.33181,                0.10834,                 2.6234,                 1.7699,                 1.2139,               0.000703,               0.000703,               0.000703
                     32,                 2.7727,                  2.552,                 1.2527,                0.36811,                0.40573,                0.35636,                0.12395,                  2.472,                 1.7773,                 1.1614,              0.0006931,              0.0006931,              0.0006931
                     33,                 2.7506,                 2.4856,                 1.2621,                0.45924,                  0.414,                0.37156,                0.12958,                 2.5054,                 1.7858,                  1.174,              0.0006832,              0.0006832,              0.0006832
                     34,                 2.7455,                 2.4489,                 1.2508,                0.37292,                0.43698,                0.35275,                0.12294,                 2.4872,                  1.759,                 1.1584,              0.0006733,              0.0006733,              0.0006733
                     35,                 2.7213,                 2.4598,                 1.2417,                 0.3906,                0.40355,                0.39548,                0.13466,                 2.4586,                 1.7229,                 1.1744,              0.0006634,              0.0006634,              0.0006634
                     36,                 2.7436,                 2.4579,                 1.2543,                0.35314,                0.44506,                0.35097,                0.12154,                 2.5653,                 1.7395,                 1.2088,              0.0006535,              0.0006535,              0.0006535
                     37,                 2.7001,                  2.415,                 1.2335,                0.36163,                0.40818,                0.36149,                0.13365,                 2.4498,                  1.784,                 1.1539,              0.0006436,              0.0006436,              0.0006436
                     38,                 2.6884,                 2.4164,                 1.2183,                0.39113,                0.48928,                0.38713,                0.14304,                 2.4227,                  1.666,                 1.1533,              0.0006337,              0.0006337,              0.0006337
                     39,                 2.6874,                 2.3806,                 1.2333,                0.36566,                0.39848,                0.37184,                0.12834,                 2.4604,                 1.7109,                 1.1546,              0.0006238,              0.0006238,              0.0006238
                     40,                 2.6813,                  2.337,                  1.231,                0.41581,                0.45878,                0.42698,                0.14097,                 2.4824,                 1.6629,                 1.1656,              0.0006139,              0.0006139,              0.0006139
                     41,                  2.689,                 2.3685,                 1.2337,                0.47792,                 0.4881,                0.46128,                0.16435,                 2.3847,                 1.5659,                 1.1353,               0.000604,               0.000604,               0.000604
                     42,                 2.6998,                 2.3529,                 1.2235,                 0.3478,                0.43378,                0.32652,                0.09839,                 2.6651,                 1.7409,                 1.2181,              0.0005941,              0.0005941,              0.0005941
                     43,                 2.6463,                 2.3124,                 1.2151,                0.47788,                0.50332,                0.46556,                 0.1793,                 2.3481,                 1.5608,                 1.1389,              0.0005842,              0.0005842,              0.0005842
                     44,                 2.6226,                 2.2883,                 1.2136,                 0.4902,                0.42271,                0.41363,                0.16107,                 2.3128,                 1.6201,                 1.1241,              0.0005743,              0.0005743,              0.0005743
                     45,                 2.6322,                 2.3022,                 1.2091,                0.42878,                0.43209,                 0.4338,                0.15198,                 2.4258,                 1.6435,                 1.1483,              0.0005644,              0.0005644,              0.0005644
                     46,                 2.6255,                 2.2581,                 1.2166,                0.48359,                0.46142,                0.44404,                0.15783,                 2.4265,                 1.5843,                 1.1383,              0.0005545,              0.0005545,              0.0005545
                     47,                 2.6067,                 2.2643,                 1.2049,                0.39708,                 0.4647,                0.40765,                0.12563,                 2.6144,                 1.5882,                 1.1989,              0.0005446,              0.0005446,              0.0005446
                     48,                 2.5953,                 2.2155,                 1.2117,                0.41173,                 0.4734,                0.44215,                0.15881,                 2.5001,                 1.6397,                  1.153,              0.0005347,              0.0005347,              0.0005347
                     49,                 2.6079,                   2.25,                 1.2003,                 0.3906,                0.43829,                0.38127,                0.13008,                 2.5114,                 1.7331,                 1.1507,              0.0005248,              0.0005248,              0.0005248
                     50,                 2.5765,                  2.206,                 1.1942,                  0.463,                0.47426,                 0.4568,                0.15927,                 2.4481,                 1.5741,                 1.1376,              0.0005149,              0.0005149,              0.0005149
                     51,                 2.5738,                 2.2075,                 1.1953,                0.56273,                0.55659,                 0.5102,                0.19184,                 2.3289,                 1.5303,                 1.1032,               0.000505,               0.000505,               0.000505
                     52,                 2.5554,                  2.184,                 1.1942,                0.39786,                0.45997,                 0.4255,                0.15084,                 2.4047,                 1.6457,                 1.1251,              0.0004951,              0.0004951,              0.0004951
                     53,                 2.5623,                 2.1838,                 1.2094,                  0.485,                0.51386,                 0.4984,                0.19017,                 2.2585,                 1.5132,                 1.0968,              0.0004852,              0.0004852,              0.0004852
                     54,                 2.5646,                 2.1748,                 1.1872,                 0.4007,                0.45772,                0.39413,                0.13652,                 2.4606,                 1.6364,                 1.1441,              0.0004753,              0.0004753,              0.0004753
                     55,                 2.5588,                  2.167,                 1.1852,                0.45381,                0.50071,                 0.4622,                0.16729,                 2.4319,                  1.555,                 1.1461,              0.0004654,              0.0004654,              0.0004654
                     56,                 2.5405,                 2.1495,                 1.1843,                0.40033,                 0.5004,                0.40333,                0.14522,                 2.4834,                 1.6533,                 1.1509,              0.0004555,              0.0004555,              0.0004555
                     57,                 2.5071,                 2.1332,                  1.177,                0.50364,                0.46925,                0.48322,                0.17877,                 2.3066,                 1.5608,                 1.1007,              0.0004456,              0.0004456,              0.0004456
                     58,                 2.5342,                 2.1349,                 1.1857,                0.47125,                0.49339,                0.45807,                0.16895,                 2.3615,                  1.555,                 1.1124,              0.0004357,              0.0004357,              0.0004357
                     59,                 2.5201,                 2.1225,                  1.182,                0.48933,                0.49309,                0.48501,                0.17203,                 2.3671,                 1.5125,                 1.1238,              0.0004258,              0.0004258,              0.0004258
                     60,                 2.5425,                 2.1504,                 1.1746,                 0.4135,                0.51974,                0.42857,                0.13818,                 2.5058,                  1.662,                 1.1481,              0.0004159,              0.0004159,              0.0004159
                     61,                 2.5232,                 2.1189,                 1.1775,                 0.4267,                0.45185,                0.42322,                 0.1457,                 2.4447,                 1.6219,                  1.147,               0.000406,               0.000406,               0.000406
                     62,                 2.4996,                 2.0941,                 1.1773,                0.54356,                0.50089,                0.50096,                0.18579,                 2.3563,                 1.5316,                 1.1144,              0.0003961,              0.0003961,              0.0003961
                     63,                 2.5045,                 2.0801,                 1.1811,                0.45414,                0.43255,                0.45717,                0.15672,                  2.503,                 1.5598,                 1.1499,              0.0003862,              0.0003862,              0.0003862
                     64,                 2.4874,                 2.0593,                 1.1678,                0.38427,                0.43774,                0.41241,                0.14595,                 2.4952,                 1.6217,                 1.1565,              0.0003763,              0.0003763,              0.0003763
                     65,                 2.5042,                 2.0932,                  1.172,                0.42509,                0.52651,                 0.4674,                0.16504,                  2.385,                  1.533,                 1.1176,              0.0003664,              0.0003664,              0.0003664
                     66,                 2.4647,                 2.0497,                 1.1581,                 0.5333,                0.54422,                0.51707,                0.18658,                 2.2969,                 1.5362,                 1.1023,              0.0003565,              0.0003565,              0.0003565
                     67,                  2.481,                 2.0555,                 1.1747,                0.57873,                 0.4814,                0.50397,                 0.1979,                 2.3024,                 1.4833,                 1.0899,              0.0003466,              0.0003466,              0.0003466
                     68,                 2.4454,                 2.0364,                 1.1639,                0.44159,                0.56256,                0.50835,                  0.173,                 2.4019,                 1.4913,                 1.1287,              0.0003367,              0.0003367,              0.0003367
