                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  6.644,                 22.197,                 3.8986,                      0,                      0,                      0,                      0,                 6.5209,                 5.5049,                 3.1679,               0.067579,             0.00032749,             0.00032749
                      1,                 5.0689,                 5.5908,                 2.3693,                      0,                      0,                      0,                      0,                 4.2625,                 5.1234,                 1.9458,               0.034572,             0.00065428,             0.00065428
                      2,                 4.1503,                 5.2475,                 1.9846,                      0,                      0,                      0,                      0,                 4.3611,                 4.8417,                  1.892,              0.0015593,             0.00097447,             0.00097447
                      3,                 4.0199,                 5.1192,                 1.8587,                      0,                      0,                      0,                      0,                 4.2804,                 4.6646,                 1.8601,              0.0009703,              0.0009703,              0.0009703
                      4,                 3.9028,                 5.0518,                 1.7994,                      0,                      0,                      0,                      0,                 4.7542,                 4.7053,                 2.0973,              0.0009703,              0.0009703,              0.0009703
                      5,                 3.8302,                 5.0017,                 1.7475,                      0,                      0,                      0,                      0,                 3.9241,                 4.6986,                 1.7525,              0.0009604,              0.0009604,              0.0009604
                      6,                 3.7847,                 4.9271,                 1.7065,                      0,                      0,                      0,                      0,                 4.0936,                 4.5784,                 1.8492,              0.0009505,              0.0009505,              0.0009505
                      7,                 3.7475,                 4.8638,                 1.6998,                      0,                      0,                      0,                      0,                 3.8824,                 4.4621,                 1.7579,              0.0009406,              0.0009406,              0.0009406
                      8,                 3.6935,                 4.7792,                 1.6485,                0.00086,                0.02008,                0.00075,                0.00024,                 3.7884,                 4.2054,                 1.7173,              0.0009307,              0.0009307,              0.0009307
                      9,                 3.7064,                 4.7059,                 1.6475,                0.00137,                0.07831,                0.00768,                0.00219,                 3.8403,                 4.1443,                 1.7188,              0.0009208,              0.0009208,              0.0009208
                     10,                 3.6816,                 4.6584,                 1.6336,                0.93807,                0.01021,                0.02616,                0.00608,                 3.7883,                   3.98,                 1.6943,              0.0009109,              0.0009109,              0.0009109
                     11,                 3.6706,                  4.617,                 1.6294,                0.91292,                0.02811,                0.03086,                0.00818,                 3.7073,                  3.894,                 1.6514,               0.000901,               0.000901,               0.000901
                     12,                 3.6334,                 4.5591,                 1.6157,                 0.9044,                0.04418,                0.04352,                0.00983,                 3.6947,                 3.6715,                 1.6482,              0.0008911,              0.0008911,              0.0008911
                     13,                  3.582,                 4.5237,                 1.6033,                0.89802,                0.07028,                0.05421,                0.01517,                 3.4772,                  3.556,                 1.5857,              0.0008812,              0.0008812,              0.0008812
                     14,                 3.5813,                 4.4596,                 1.6062,                0.72898,                0.06225,                0.05329,                0.01376,                 3.6417,                  3.441,                 1.6195,              0.0008713,              0.0008713,              0.0008713
                     15,                 3.5581,                 4.4282,                  1.569,                0.90483,                0.06627,                0.05302,                0.01567,                 3.4833,                 3.3549,                 1.5726,              0.0008614,              0.0008614,              0.0008614
                     16,                 3.4952,                 4.3529,                 1.5629,                0.89119,                0.06225,                0.05132,                0.01495,                 3.2766,                 3.2485,                 1.4874,              0.0008515,              0.0008515,              0.0008515
                     17,                  3.474,                 4.3057,                 1.5671,                0.90578,                0.06426,                0.06979,                0.02289,                 3.2114,                 3.0828,                 1.4779,              0.0008416,              0.0008416,              0.0008416
                     18,                 3.4636,                 4.2642,                   1.57,                0.91231,                0.06827,                0.07246,                0.01909,                 3.2617,                  2.999,                 1.4826,              0.0008317,              0.0008317,              0.0008317
                     19,                 3.4232,                 4.2257,                 1.5521,                0.89142,                0.08594,                 0.0646,                0.02228,                 3.1194,                 3.0709,                 1.4528,              0.0008218,              0.0008218,              0.0008218
                     20,                 3.4292,                 4.1747,                 1.5279,                0.88357,                0.08032,                0.05359,                0.01375,                 3.3029,                 2.9878,                 1.5034,              0.0008119,              0.0008119,              0.0008119
                     21,                 3.3996,                 4.1488,                 1.5256,                0.91629,                0.09036,                0.08815,                0.03002,                 3.1003,                 2.8652,                 1.4235,               0.000802,               0.000802,               0.000802
