                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.2624,                 7.0194,                 2.0174,                      0,                      0,                      0,                      0,                 6.1622,                    inf,                 22.221,               0.070526,              0.0032749,              0.0032749
                      1,                 3.5465,                 4.6744,                 1.5306,                  5e-05,                0.00201,                  3e-05,                  1e-05,                 4.2495,                 7.9834,                 1.7846,               0.040461,              0.0065428,              0.0065428
                      2,                 3.3937,                 4.1944,                 1.4599,                 0.4344,                0.10824,                0.06803,                0.01627,                 3.4248,                 4.0518,                  1.529,               0.010329,              0.0097447,              0.0097447
                      3,                 3.2965,                 3.7407,                 1.4255,                0.56684,                0.11997,                0.04407,                0.01197,                 3.4484,                 4.7911,                  1.576,               0.009703,               0.009703,               0.009703
                      4,                 3.2015,                 3.5008,                 1.4091,                0.87767,                0.05823,                 0.0471,                0.00913,                 3.6842,                 4.6382,                 1.6853,               0.009703,               0.009703,               0.009703
                      5,                 3.1408,                 3.3119,                 1.3899,                0.80192,                0.11595,                0.10416,                0.02565,                 3.1254,                 2.9423,                 1.3877,               0.009604,               0.009604,               0.009604
                      6,                 3.0509,                 3.1148,                 1.3602,                0.23676,                0.20693,                0.10554,                0.02834,                 3.1114,                 2.6942,                 1.4282,               0.009505,               0.009505,               0.009505
                      7,                 3.0559,                      3,                 1.3781,                0.23525,                0.22677,                0.15308,                 0.0416,                  3.151,                   2.45,                 1.4136,               0.009406,               0.009406,               0.009406
                      8,                 2.9742,                  2.935,                 1.3373,                0.33014,                0.33507,                0.26636,                0.09638,                 2.7055,                 2.2868,                 1.2753,               0.009307,               0.009307,               0.009307
                      9,                 2.9646,                 2.8296,                   1.34,                 0.3642,                0.35149,                0.32794,                0.12068,                 2.5811,                 2.0395,                 1.2416,               0.009208,               0.009208,               0.009208
                     10,                 2.9479,                  2.754,                 1.3373,                0.38277,                0.24045,                0.19234,                0.05328,                 3.1897,                 2.4824,                 1.4749,               0.009109,               0.009109,               0.009109
                     11,                  2.942,                 2.7232,                 1.3304,                 0.4198,                0.22176,                0.20238,                0.06594,                 2.8489,                 2.5289,                 1.3134,                0.00901,                0.00901,                0.00901
                     12,                 2.9084,                 2.6438,                 1.3234,                0.58596,                0.33683,                0.35785,                0.11797,                 2.6451,                 2.0359,                  1.266,               0.008911,               0.008911,               0.008911
                     13,                 2.8809,                 2.5494,                 1.3269,                0.33682,                0.38196,                0.32689,                0.12162,                 2.6156,                  2.017,                 1.2586,               0.008812,               0.008812,               0.008812
                     14,                 2.8977,                 2.5711,                 1.3255,                0.37931,                0.19981,                0.17344,                0.05752,                 2.6974,                 2.4752,                 1.2556,               0.008713,               0.008713,               0.008713
                     15,                 2.8626,                 2.5512,                 1.3016,                0.34152,                0.35178,                0.32012,                0.10866,                 2.6091,                 1.9981,                 1.2508,               0.008614,               0.008614,               0.008614
                     16,                   2.83,                 2.4757,                 1.2996,                0.44452,                0.34607,                0.31765,                 0.1119,                 2.5974,                 2.0578,                 1.2359,               0.008515,               0.008515,               0.008515
                     17,                  2.845,                 2.4736,                 1.3117,                 0.4343,                0.34594,                0.32222,                0.10578,                 2.7224,                 2.1183,                 1.2793,               0.008416,               0.008416,               0.008416
                     18,                 2.8222,                 2.3991,                  1.312,                 0.3711,                0.33261,                0.32245,                0.10059,                 2.6665,                 2.0658,                 1.2563,               0.008317,               0.008317,               0.008317
                     19,                 2.8288,                 2.3937,                 1.3111,                0.42485,                 0.3967,                0.43045,                0.15622,                 2.4199,                 1.7466,                  1.196,               0.008218,               0.008218,               0.008218
                     20,                 2.8024,                 2.3492,                  1.289,                0.37136,                0.37269,                0.35682,                0.12991,                 2.5259,                 1.8685,                   1.21,               0.008119,               0.008119,               0.008119
                     21,                 2.8076,                 2.3881,                 1.2992,                0.61382,                0.20555,                0.22117,                0.08159,                    nan,                    nan,                    nan,                0.00802,                0.00802,                0.00802
                     22,                 2.7773,                 2.3533,                 1.2894,                0.42352,                0.27115,                0.26764,                0.08662,                    nan,                    nan,                    nan,               0.007921,               0.007921,               0.007921
                     23,                 2.7521,                 2.3167,                 1.2776,                0.43794,                0.38632,                 0.3924,                0.15228,                  2.467,                 1.8859,                 1.2124,               0.007822,               0.007822,               0.007822
                     24,                 2.7669,                 2.2977,                 1.2876,                0.39383,                0.35682,                0.31072,                0.11545,                 2.6026,                 2.0567,                 1.2322,               0.007723,               0.007723,               0.007723
                     25,                 2.7583,                 2.2917,                 1.2876,                0.45501,                0.45682,                0.44228,                0.13892,                 2.5132,                 1.7319,                  1.191,               0.007624,               0.007624,               0.007624
                     26,                 2.7548,                 2.2799,                 1.2868,                0.44937,                0.44363,                0.47131,                0.18099,                 2.4094,                 1.6258,                  1.188,               0.007525,               0.007525,               0.007525
