                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 6.5813,                 16.198,                 3.8512,                      0,                      0,                      0,                      0,                  6.434,                 5.6361,                 3.0237,               0.067579,             0.00032749,             0.00032749
                      1,                 5.2669,                 5.6332,                 2.4718,                      0,                      0,                      0,                      0,                 4.6242,                 5.2704,                 2.0152,               0.034572,             0.00065428,             0.00065428
                      2,                 4.0507,                 5.1637,                  1.999,                      0,                      0,                      0,                      0,                 3.9914,                 5.0127,                 1.9297,              0.0015593,             0.00097447,             0.00097447
                      3,                 3.7618,                 4.8468,                 1.7921,                0.00026,                0.02728,                0.00031,                  8e-05,                 3.8352,                 5.2201,                 1.7469,              0.0009703,              0.0009703,              0.0009703
                      4,                 3.6463,                 4.5282,                 1.6993,                0.01485,                0.12359,                0.00889,                0.00256,                 3.5443,                 3.8646,                 1.6589,              0.0009703,              0.0009703,              0.0009703
                      5,                  3.542,                  4.014,                 1.6281,                0.09575,                0.08181,                0.10041,                0.03019,                 3.3171,                 3.0405,                 1.5683,              0.0009604,              0.0009604,              0.0009604
                      6,                 3.4078,                 3.6269,                 1.5635,                0.30224,                0.14382,                0.13896,                0.04232,                 3.0475,                 2.5685,                 1.4391,              0.0009505,              0.0009505,              0.0009505
                      7,                 3.2721,                 3.3799,                 1.5229,                0.23799,                0.18707,                0.14918,                0.04561,                 2.8946,                 2.3775,                 1.3834,              0.0009406,              0.0009406,              0.0009406
                      8,                 3.1714,                  3.195,                 1.4628,                 0.1934,                0.24426,                0.19174,                0.06462,                 2.7205,                 2.1963,                 1.3416,              0.0009307,              0.0009307,              0.0009307
                      9,                 3.0919,                 3.0323,                 1.4406,                0.32371,                0.27044,                0.22163,                0.07281,                 2.6721,                 2.1056,                 1.3154,              0.0009208,              0.0009208,              0.0009208
                     10,                 3.0814,                 2.9798,                 1.4284,                0.27577,                0.27721,                0.22222,                 0.0714,                 2.7219,                 2.1084,                 1.3184,              0.0009109,              0.0009109,              0.0009109
                     11,                 3.0223,                  2.919,                 1.4091,                0.32675,                0.34106,                0.27389,                0.09586,                 2.5376,                 1.9739,                 1.2663,               0.000901,               0.000901,               0.000901
                     12,                 2.9697,                 2.8308,                  1.394,                0.29983,                0.41489,                0.29302,                0.09904,                 2.5856,                 1.8862,                  1.282,              0.0008911,              0.0008911,              0.0008911
                     13,                 2.9345,                 2.7622,                 1.3931,                0.36093,                 0.4143,                0.30468,                0.10165,                 2.6629,                 1.9238,                 1.2855,              0.0008812,              0.0008812,              0.0008812
                     14,                 2.9262,                  2.728,                 1.3833,                0.37078,                0.41066,                0.33017,                0.11458,                 2.5599,                 1.8445,                 1.2483,              0.0008713,              0.0008713,              0.0008713
                     15,                 2.8958,                 2.6852,                 1.3518,                0.43404,                0.36765,                0.36299,                 0.1311,                 2.5476,                 1.7998,                 1.2501,              0.0008614,              0.0008614,              0.0008614
                     16,                 2.8741,                 2.6176,                 1.3593,                0.35838,                0.45124,                0.34063,                0.12358,                 2.5059,                 1.7875,                 1.2442,              0.0008515,              0.0008515,              0.0008515
                     17,                 2.8574,                 2.5877,                 1.3569,                0.46657,                0.38619,                0.37206,                0.13451,                 2.4633,                  1.692,                 1.2213,              0.0008416,              0.0008416,              0.0008416
                     18,                 2.8377,                 2.5223,                 1.3626,                0.46768,                0.35251,                0.36529,                 0.1354,                 2.4509,                 1.7443,                 1.2112,              0.0008317,              0.0008317,              0.0008317
