                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  4.397,                 7.5053,                 2.0687,                      0,                      0,                      0,                      0,                 3.6166,                 4.7732,                 1.5763,               0.067579,             0.00032749,             0.00032749
                      1,                 3.5316,                  4.566,                 1.5343,                0.02239,                0.03571,                0.01417,                0.00558,                 4.1028,                  7.921,                 1.8505,               0.034572,             0.00065428,             0.00065428
                      2,                  3.315,                 3.8034,                 1.4472,                0.72367,                0.08454,                0.06584,                 0.0164,                 3.2602,                 3.7039,                 1.4283,              0.0015593,             0.00097447,             0.00097447
                      3,                 3.1963,                  3.384,                 1.3901,                0.57932,                0.13434,                0.07518,                0.02478,                 3.0981,                 2.9887,                 1.3831,              0.0009703,              0.0009703,              0.0009703
                      4,                 3.0661,                 3.1688,                 1.3542,                0.49271,                0.20068,                 0.1242,                0.03253,                 3.1479,                 2.5452,                 1.3844,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.9949,                 2.9939,                 1.3367,                0.30843,                0.26215,                0.18807,                0.07117,                  2.769,                 2.3035,                 1.2574,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.9294,                  2.831,                 1.3288,                0.39649,                 0.2708,                0.21951,                0.06201,                 2.8562,                 2.1583,                 1.3055,              0.0009505,              0.0009505,              0.0009505
                      7,                 2.9041,                 2.7041,                 1.3229,                0.30637,                0.31048,                0.22564,                0.07875,                 2.7288,                 2.1737,                 1.2592,              0.0009406,              0.0009406,              0.0009406
                      8,                 2.8607,                 2.6507,                 1.2936,                0.29941,                0.24452,                0.18473,                0.05635,                 2.8286,                  2.393,                  1.293,              0.0009307,              0.0009307,              0.0009307
                      9,                 2.8093,                 2.5228,                 1.2784,                0.60155,                0.27607,                0.27245,                0.09646,                 2.6014,                 2.1347,                 1.2234,              0.0009208,              0.0009208,              0.0009208
                     10,                 2.8064,                 2.5011,                 1.2734,                0.63698,                0.35907,                0.41987,                0.14814,                 2.4398,                 1.7455,                 1.1539,              0.0009109,              0.0009109,              0.0009109
                     11,                 2.7876,                 2.4762,                 1.2654,                0.32965,                0.40984,                0.32654,                0.11701,                 2.4911,                 1.7609,                 1.1702,               0.000901,               0.000901,               0.000901
                     12,                 2.7413,                 2.4035,                 1.2528,                0.47527,                0.36266,                0.34866,                0.11787,                 2.5247,                  1.823,                  1.194,              0.0008911,              0.0008911,              0.0008911
                     13,                 2.7174,                 2.3444,                 1.2513,                0.46451,                0.42585,                0.43452,                0.14413,                 2.5485,                 1.7932,                 1.2005,              0.0008812,              0.0008812,              0.0008812
                     14,                 2.7284,                 2.3251,                 1.2528,                0.43118,                0.44538,                0.40789,                0.15954,                 2.3728,                 1.6772,                 1.1448,              0.0008713,              0.0008713,              0.0008713
                     15,                 2.7028,                  2.299,                 1.2275,                0.41731,                0.43479,                0.42063,                0.15547,                 2.3686,                 1.7155,                 1.1511,              0.0008614,              0.0008614,              0.0008614
                     16,                 2.6719,                 2.2481,                 1.2285,                0.40734,                0.42766,                0.39227,                0.14397,                 2.3924,                 1.6938,                 1.1616,              0.0008515,              0.0008515,              0.0008515
