                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.5878,                  5.068,                 1.6238,                      0,                      0,                      0,                      0,                 3.5538,                 4.7352,                 1.6089,               0.067579,             0.00032749,             0.00032749
                      1,                 3.2452,                 3.9336,                 1.4409,                0.89967,                 0.0478,                0.07848,                0.03149,                 3.0716,                 3.3908,                 1.3644,               0.034572,             0.00065428,             0.00065428
                      2,                 3.0442,                  3.347,                 1.3617,                0.48432,                0.16109,                0.15144,                0.04759,                  2.659,                 2.6027,                 1.2535,              0.0015593,             0.00097447,             0.00097447
                      3,                 2.9953,                 3.0466,                 1.3435,                0.31044,                0.30356,                0.22105,                0.07681,                  2.576,                 2.2749,                 1.1894,              0.0009703,              0.0009703,              0.0009703
                      4,                 2.8914,                 2.8143,                 1.3225,                0.30105,                0.30634,                0.26667,                0.08634,                  2.621,                 2.1313,                 1.2463,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.8416,                 2.6616,                 1.3031,                0.30533,                0.32403,                0.26726,                0.08763,                 2.5753,                 2.0875,                 1.1988,              0.0009604,              0.0009604,              0.0009604
                      6,                 2.7964,                 2.5403,                 1.2916,                0.28004,                0.30547,                0.22621,                0.06723,                 2.9444,                 2.0755,                 1.3656,              0.0009505,              0.0009505,              0.0009505
                      7,                 2.7605,                 2.4699,                 1.2836,                 0.5045,                0.39354,                0.37435,                0.13941,                 2.5562,                 1.8932,                 1.2181,              0.0009406,              0.0009406,              0.0009406
                      8,                 2.7381,                  2.425,                 1.2668,                  0.323,                0.39026,                 0.3466,                0.11922,                 2.5783,                 1.9385,                 1.2101,              0.0009307,              0.0009307,              0.0009307
                      9,                  2.692,                 2.3328,                 1.2566,                0.49923,                0.30642,                0.37228,                0.13558,                 2.5595,                 1.8227,                 1.1944,              0.0009208,              0.0009208,              0.0009208
                     10,                 2.7173,                 2.3307,                 1.2525,                0.50869,                0.48879,                0.47863,                 0.1876,                 2.3555,                 1.6443,                 1.1402,              0.0009109,              0.0009109,              0.0009109
                     11,                 2.6878,                 2.3145,                 1.2447,                0.35983,                0.39347,                0.40489,                 0.1613,                 2.3576,                 1.7357,                 1.1472,               0.000901,               0.000901,               0.000901
                     12,                 2.6382,                 2.2614,                  1.233,                0.48695,                0.36681,                0.40554,                0.15526,                 2.3411,                 1.8309,                 1.1422,              0.0008911,              0.0008911,              0.0008911
                     13,                 2.6206,                  2.215,                 1.2302,                0.48325,                0.54508,                0.48017,                0.17135,                 2.4717,                 1.7515,                 1.1787,              0.0008812,              0.0008812,              0.0008812
                     14,                 2.6347,                 2.2122,                 1.2315,                 0.4576,                0.42757,                0.42799,                0.15378,                 2.3377,                 1.7042,                 1.1179,              0.0008713,              0.0008713,              0.0008713
                     15,                 2.5995,                 2.1827,                 1.2023,                0.49189,                0.58192,                0.54716,                0.21624,                 2.2022,                 1.5272,                 1.0924,              0.0008614,              0.0008614,              0.0008614
                     16,                 2.5869,                 2.1606,                 1.2061,                0.50437,                0.51675,                0.50812,                0.19809,                 2.2476,                 1.5635,                 1.1097,              0.0008515,              0.0008515,              0.0008515
                     17,                 2.5743,                 2.1399,                 1.2132,                0.53258,                 0.5705,                0.55527,                0.20071,                 2.4165,                 1.5433,                 1.1499,              0.0008416,              0.0008416,              0.0008416
