                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.4075,                 6.7886,                 2.3352,                      0,                      0,                      0,                      0,                 2.8369,                 4.7972,                 1.3164,               0.067579,             0.00032749,             0.00032749
                      1,                 3.6458,                 5.4754,                 1.6359,                      0,                      0,                      0,                      0,                 2.8404,                 4.6762,                 1.3302,               0.034572,             0.00065428,             0.00065428
                      2,                 3.3629,                 5.1363,                 1.4978,                0.00158,                0.02596,                0.00092,                0.00039,                 2.7016,                  4.354,                 1.2795,              0.0015593,             0.00097447,             0.00097447
                      3,                 3.1923,                 4.5947,                 1.4428,                0.04315,                0.10728,                0.02956,                0.00759,                 2.8044,                 4.0966,                 1.2979,              0.0009703,              0.0009703,              0.0009703
                      4,                 3.1133,                 4.1529,                 1.4207,                0.44159,                0.09634,                 0.0946,                0.03466,                 2.9143,                 3.1901,                 1.3463,              0.0009703,              0.0009703,              0.0009703
                      5,                 3.0123,                 3.8106,                 1.3815,                 0.1666,                0.13808,                0.12023,                0.04119,                  2.763,                 2.7611,                 1.2824,              0.0009604,              0.0009604,              0.0009604
                      6,                  2.924,                 3.5541,                 1.3473,                 0.2757,                0.25095,                0.18704,                 0.0635,                 2.6307,                 2.4442,                 1.2466,              0.0009505,              0.0009505,              0.0009505
                      7,                 2.8824,                 3.3822,                 1.3406,                0.26132,                0.24846,                0.20106,                0.06944,                 2.6103,                 2.3471,                 1.2309,              0.0009406,              0.0009406,              0.0009406
                      8,                  2.834,                 3.2522,                 1.3091,                0.30423,                0.30802,                0.23477,                0.07956,                  2.625,                 2.2537,                 1.2362,              0.0009307,              0.0009307,              0.0009307
                      9,                 2.8054,                 3.1078,                 1.2998,                0.34961,                0.33695,                0.27514,                 0.0947,                  2.572,                 2.1557,                   1.21,              0.0009208,              0.0009208,              0.0009208
