                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  3.951,                 6.2586,                 1.9277,                      0,                      0,                      0,                      0,                 2.8759,                 4.5867,                 1.3153,               0.070526,              0.0032749,              0.0032749
                      1,                 3.2417,                 4.4792,                 1.4446,                0.62454,                0.03647,                0.06495,                0.01894,                 3.1608,                 3.4975,                 1.4123,               0.040461,              0.0065428,              0.0065428
                      2,                 3.0776,                 3.7331,                 1.3892,                0.14521,                0.18879,                0.10337,                0.03231,                 2.7847,                 2.9552,                 1.2844,               0.010329,              0.0097447,              0.0097447
                      3,                 2.9742,                 3.3002,                 1.3476,                0.20091,                0.39361,                0.17851,                0.05033,                 2.8473,                 2.7847,                 1.3557,               0.009703,               0.009703,               0.009703
                      4,                  2.899,                 2.9978,                 1.3278,                0.25109,                0.32846,                0.21667,                0.06575,                 2.7211,                 2.3084,                 1.2478,               0.009703,               0.009703,               0.009703
                      5,                 2.8483,                 2.7655,                 1.3018,                0.28104,                0.33707,                0.24888,                0.07276,                 2.7105,                  2.073,                 1.2427,               0.009604,               0.009604,               0.009604
                      6,                  2.796,                 2.6031,                 1.2749,                0.19709,                0.34344,                0.22156,                0.06429,                 2.7915,                 2.3244,                 1.2793,               0.009505,               0.009505,               0.009505
                      7,                 2.7657,                 2.4877,                 1.2741,                0.32392,                0.28859,                0.24189,                0.07987,                 2.6155,                 2.4053,                  1.211,               0.009406,               0.009406,               0.009406
                      8,                 2.7208,                 2.4443,                 1.2438,                0.35615,                0.37342,                0.32317,                0.11536,                 2.4354,                 1.8768,                 1.1566,               0.009307,               0.009307,               0.009307
                      9,                 2.6851,                 2.3502,                 1.2378,                0.38147,                0.34262,                0.31109,                0.09125,                 2.8329,                   2.04,                 1.3273,               0.009208,               0.009208,               0.009208
                     10,                 2.6851,                  2.325,                 1.2256,                0.30371,                0.49639,                 0.3808,                0.13201,                 2.3945,                 1.9001,                 1.1423,               0.009109,               0.009109,               0.009109
                     11,                 2.6701,                 2.3035,                 1.2256,                0.27358,                0.30783,                0.18863,                0.04612,                 3.3152,                 2.0394,                 1.4722,                0.00901,                0.00901,                0.00901
                     12,                 2.6334,                 2.2355,                 1.2228,                 0.4083,                0.35629,                0.35611,                0.12721,                 2.3975,                 1.8532,                 1.1623,               0.008911,               0.008911,               0.008911
                     13,                 2.6132,                  2.207,                 1.2179,                0.39557,                0.45938,                0.41938,                0.12141,                 2.6754,                 1.6558,                 1.2324,               0.008812,               0.008812,               0.008812
                     14,                 2.6141,                 2.2098,                 1.2138,                0.47897,                0.51904,                0.52253,                0.18187,                 2.3065,                 1.6031,                 1.1083,               0.008713,               0.008713,               0.008713
                     15,                 2.6002,                 2.1643,                 1.1949,                0.23263,                0.39587,                0.22382,                 0.0572,                 2.9683,                 2.1188,                 1.3225,               0.008614,               0.008614,               0.008614
                     16,                 2.5765,                 2.1429,                 1.1963,                0.44505,                0.48595,                0.46743,                0.17106,                 2.3362,                 1.5528,                 1.1229,               0.008515,               0.008515,               0.008515
                     17,                 2.5638,                 2.0865,                 1.2031,                0.53928,                0.53291,                 0.5345,                0.18989,                   2.33,                 1.5192,                 1.1282,               0.008416,               0.008416,               0.008416
                     18,                 2.5304,                 2.0609,                 1.1931,                0.63503,                0.49887,                0.55224,                0.21968,                  2.244,                 1.4638,                 1.0921,               0.008317,               0.008317,               0.008317
                     19,                 2.5179,                 2.0326,                  1.192,                0.43473,                0.49281,                 0.5117,                0.18669,                 2.2746,                 1.5898,                  1.122,               0.008218,               0.008218,               0.008218
                     20,                 2.5236,                 2.0259,                 1.1769,                 0.3935,                0.51825,                0.41578,                0.13503,                 2.3915,                 1.6777,                 1.1231,               0.008119,               0.008119,               0.008119
                     21,                 2.4956,                 2.0388,                 1.1749,                 0.5421,                0.52847,                0.51121,                0.18582,                 2.4195,                 1.5932,                 1.1471,                0.00802,                0.00802,                0.00802
                     22,                 2.4925,                 2.0196,                 1.1789,                0.39785,                0.48745,                0.42314,                0.16185,                 2.3169,                 1.9201,                 1.1197,               0.007921,               0.007921,               0.007921
                     23,                 2.4662,                 1.9891,                 1.1687,                0.54712,                0.62727,                0.60649,                0.21351,                 2.2942,                 1.5733,                  1.103,               0.007822,               0.007822,               0.007822
                     24,                 2.4709,                 1.9777,                 1.1692,                0.45855,                0.50699,                0.45573,                0.16726,                 2.3234,                  1.604,                 1.1227,               0.007723,               0.007723,               0.007723
                     25,                 2.4667,                 1.9887,                 1.1735,                0.55948,                0.58511,                0.55432,                0.22232,                 2.1935,                 1.4679,                 1.0752,               0.007624,               0.007624,               0.007624
                     26,                 2.4466,                 1.9528,                 1.1609,                0.49715,                0.58867,                0.54419,                0.20941,                 2.2941,                 1.4266,                 1.1005,               0.007525,               0.007525,               0.007525
                     27,                  2.439,                 1.9316,                 1.1589,                0.47853,                0.55355,                0.55256,                0.20431,                 2.2693,                 1.5618,                 1.1001,               0.007426,               0.007426,               0.007426
                     28,                 2.4243,                 1.9402,                 1.1641,                 0.5365,                0.61668,                0.60817,                0.21475,                 2.3082,                  1.419,                 1.0942,               0.007327,               0.007327,               0.007327
                     29,                 2.3984,                 1.8925,                 1.1488,                0.51921,                0.57907,                0.53885,                0.20348,                 2.2443,                 1.5452,                 1.0847,               0.007228,               0.007228,               0.007228
                     30,                 2.4127,                  1.898,                 1.1539,                0.66949,                0.72057,                0.70191,                0.27896,                 2.1288,                 1.3127,                 1.0666,               0.007129,               0.007129,               0.007129
                     31,                 2.3936,                 1.8677,                 1.1393,                0.49157,                0.56981,                0.51192,                0.18533,                 2.2697,                 1.5513,                 1.0824,                0.00703,                0.00703,                0.00703
                     32,                 2.3851,                 1.8538,                 1.1358,                0.59808,                0.63113,                 0.6508,                0.23418,                 2.2085,                  1.357,                 1.0802,               0.006931,               0.006931,               0.006931
                     33,                 2.4095,                 1.8572,                 1.1483,                0.55667,                0.56058,                0.54609,                 0.1943,                 2.3183,                 1.4904,                  1.115,               0.006832,               0.006832,               0.006832
                     34,                  2.387,                 1.8411,                 1.1418,                 0.5094,                0.55743,                0.52868,                0.17738,                 2.3297,                 1.6118,                 1.1124,               0.006733,               0.006733,               0.006733
                     35,                 2.3718,                 1.8117,                  1.129,                0.59657,                 0.5889,                0.59653,                0.20563,                 2.2252,                 1.4851,                 1.0739,               0.006634,               0.006634,               0.006634
                     36,                 2.3248,                 1.7549,                  1.124,                0.61658,                0.60073,                0.64304,                  0.227,                 2.1888,                 1.3888,                  1.071,               0.006535,               0.006535,               0.006535
                     37,                 2.3222,                 1.7586,                 1.1291,                0.57461,                0.55035,                0.56628,                0.18196,                 2.4205,                 1.4451,                  1.131,               0.006436,               0.006436,               0.006436
                     38,                 2.3328,                 1.7622,                 1.1213,                0.62202,                0.65681,                0.66481,                0.24208,                 2.1618,                 1.3379,                 1.0661,               0.006337,               0.006337,               0.006337
